Electrode,Weight
POL RpHP8-Ref,-5333.179223359446
POL LPCU5-Ref,5325.316012678088
POL LHIP8-Ref-2,5317.3133948834675
POL RpTH9-Ref-1,-5274.031457555255
POL LANT7-Ref,5272.923214585514
POL RMCC14-Ref-1,5213.571772302409
POL LOFC6-Ref-1,5206.76294685001
POL LHIP1-Ref-2,5183.3164476425345
POL RaTH1-Ref-2,5158.96058896933
POL LPTH4-Ref-1,5156.603117897478
POL RaTH8-Ref-2,5153.827803692975
POL LaTH3-Ref-2,5108.695143939716
POL LPTH11-Ref-1,-5101.755225530066
POL RPCU2-Ref,5087.888803848084
POL LOFC8-Ref-1,5083.287005730514
POL LOFC1-Ref-1,5054.695738705251
POL LaTH4-Ref-2,5035.064633038484
POL RaTH12-Ref-2,5016.600065988331
POL LOFC3-Ref-1,4983.416664865303
POL LMCC10-Ref-1,4971.936804299025
POL RPCU8-Ref,4968.977450937833
POL LPCU7-Ref,4891.662090772984
POL LPTH3-Ref-1,4877.767110001348
POL LpTH11-Ref-1,-4814.282290788497
POL RHIP2-Ref-1,4766.921371663061
POL RPTH3-Ref,4760.586959577113
POL LRMD6-Ref-1,4724.539986039421
POL LOFC5-Ref-1,4711.280882348251
POL RaIN2-Ref,4690.651850879259
POL RHIP3-Ref-1,4677.712326581833
POL RHIP1-Ref-1,4651.985911398943
POL RAMY6-Ref-2,4624.739931490821
POL RpHP7-Ref,-4623.445493202126
POL RMCC6-Ref-1,4601.3364528712555
POL LMCC15-Ref-1,4599.103424802306
POL RAMY6-Ref-3,4594.712389280302
POL RaTH3-Ref-2,4589.742336912225
POL LAMY5-Ref-3,4568.811094824596
POL RPIN6-Ref-0,-4564.76434897656
POL LIL2-Ref,4553.548476000121
POL LANT12-Ref,-4553.501419225048
POL LPIN13-Ref-0,-4533.092218246189
POL RPIN9-Ref-1,-4513.725780959005
POL LSU4-Ref,4507.173262623311
POL RHIP8-Ref-1,4451.382822018668
POL RPCU7-Ref,4445.5996913546005
POL LHIP2-Ref-2,4423.56368559578
POL RpHP10-Ref,-4400.063434905477
POL LPCU11-Ref,4393.601391336003
POL RHIP4-Ref-1,4384.748085246561
POL LPIN5-Ref-0,-4363.4208162701725
POL RAMY9-Ref-1,-4334.976339461749
POL LpTH12-Ref-0,4287.892116931936
POL LaTH5-Ref-2,4283.509999743245
POL RaTH4-Ref-2,4241.680104033498
POL LRMD4-Ref-1,4230.443826947225
POL LOFC4-Ref-1,4227.540364359125
POL RMCC7-Ref-1,4202.399532804823
POL LaTH6-Ref-2,4188.835862016016
POL CINS6-Ref,-4170.427117083909
POL LITG10-Ref,4157.443774266334
POL LaTH1-Ref-2,4112.937325657083
POL LIL4-Ref,-4110.684707418975
POL LOFC9-Ref-1,4109.220306787086
POL LAMY2-Ref-3,4064.559039622076
POL LPIN12-Ref-1,-4055.1535685894996
POL RaTH7-Ref-2,4051.211759212658
POL LpTh4-Ref,4027.416399498006
POL LPTH4-Ref-0,4023.129721734292
POL LPTH14-Ref,4013.435311370754
POL LPTH1-Ref-1,4005.1323107389057
POL LHIP10-Ref-2,3985.0358995361935
POL LRMD11-Ref-0,-3966.767108574946
POL RaTH2-Ref-1,3957.220673562359
POL RHIP7-Ref-1,3955.6632886400157
POL LMCC3-Ref-1,3954.5543680192736
POL LAMY12-Ref-1,3925.2343475341604
POL LPCU10-Ref,3917.9300739152964
POL LMCC5-Ref-1,3915.4376520301857
POL LPTH2-Ref-1,3913.244299209733
POL RpIN1-Ref,-3902.0682969256295
POL LMCC6-Ref-1,3900.262206717687
POL RPCU1-Ref,3889.6048212760484
POL RPTH1-Ref,3877.6584354609195
POL RHIP6-Ref-1,3875.5103831189786
POL LSR4-Ref,3856.2740021964405
POL LPCU12-Ref,3848.8608124283523
POL RaIN3-Ref,3829.9944358489056
POL LOFC12-Ref-1,3824.837164364727
POL RaTH10-Ref-2,3779.0826419346613
POL LRMD7-Ref-1,3775.661494267981
POL RAMY2-Ref-3,3744.2766663038983
POL LPIN4-Ref-0,-3744.2055114955233
POL LAMY6-Ref-3,3739.500471112882
POL LMCC4-Ref-0,3738.6960090934986
POL CINS7-Ref,-3730.053765973245
POL LHIP7-Ref-2,3718.107665791682
POL RaTH11-Ref-2,3713.58237526786
POL RMCC1-Ref-1,3711.5062283170223
POL LPTH13-Ref,3701.1966855042115
POL LMCC9-Ref-1,3700.5921231798084
POL RaTH13-Ref-2,3691.099171406215
POL RPCU4-Ref,3688.820683617528
POL LMiC8-Ref,3664.605034012559
POL LOFC7-Ref-1,3648.515467351791
POL RMCC15-Ref-1,3632.872190486434
POL LPIN14-Ref-0,-3612.016960886397
POL RaIN4-Ref,3601.5348155696947
POL RPCU3-Ref,3590.0387545002504
POL LRMD2-Ref-1,3586.154486789664
POL LHIP9-Ref-2,3572.95421680435
POL RpHP6-Ref,-3562.1736308449185
POL RPIN4-Ref-1,-3561.9280550649887
POL LOFC10-Ref-1,3558.8636523425853
POL RPIN13-Ref-1,-3558.594212798603
POL LRMD15-Ref-1,3540.8988017872257
POL LRMD16-Ref-1,3503.0135179490094
POL LpFG9-Ref,3439.4997692338056
POL LMiC7-Ref,3438.099420565377
POL RPIN5-Ref-0,-3418.5579387011285
POL LMiC5-Ref,3393.080034994369
POL RMCC7-Ref-0,3377.3863499216627
POL RaTH4-Ref-1,3368.093063540294
POL LHIP3-Ref-2,3363.3668412400907
POL LOFC13-Ref,3360.4916106454507
POL LPIN2-Ref-1,-3344.4092294471134
POL RMCC1-Ref-0,3338.7310350580183
POL LMCC14-Ref-1,3337.9009305171467
POL RPTH14-Ref,3307.150334070628
POL LOFC14-Ref,3306.1515195208453
POL LPCU4-Ref,3302.814026521614
POL LAMY1-Ref-3,3297.4785654669267
POL RPIN16-Ref-1,3258.516622338653
POL RHIP2-Ref-0,3252.487970069037
POL RpTh3-Ref,3245.4630868278864
POL RpTH2-Ref-1,3243.835249932953
POL LHIP5-Ref-2,3213.0301511641724
POL RaIN12-Ref,3200.087846664854
POL RPCU10-Ref,3196.909982046608
POL LaTH8-Ref-2,3196.1538128804477
POL RaTH5-Ref-2,3169.743898976959
POL LpFG10-Ref,3162.5363728577718
POL RAMY5-Ref-2,3156.218315815066
POL LRMD1-Ref-1,3154.8276671538024
POL LAMY4-Ref-2,3154.0985701962913
POL LRCS2-Ref,3141.2866079665264
POL RAMY1-Ref-0,3124.2899766990367
POL LAMY2-Ref-2,3122.088507885315
POL LHIP5-Ref-0,3106.300959383039
POL RPTH4-Ref,3100.7398331930194
POL RaTH16-Ref,3089.962472596831
POL LMDT11-Ref,-3080.936171081726
POL LPIN15-Ref-0,-3077.7444646645336
POL RaIN14-Ref,3075.3939841618558
POL LRMD5-Ref-1,3059.2268323391736
POL LITG8-Ref,3049.7988124651733
POL LPIN1-Ref-1,-3037.134721509964
POL LPHG2-Ref-0,3019.9261811328156
POL LHIP4-Ref-2,3019.7759273420315
POL RAMY4-Ref-0,3008.966912628346
POL LMCC8-Ref-1,2974.681565748234
POL RaTh7-Ref,2973.8502981440556
POL LACC13-Ref,2966.93283516662
POL LACC14-Ref,2964.540322143171
POL LMDT9-Ref,-2960.6634685688973
POL LpTH12-Ref-1,-2950.2616421838293
POL LpFG7-Ref,2941.460483748196
POL RAMY2-Ref-0,2931.2065941288483
POL RAMY7-Ref-2,2901.407576144227
POL LaTH6-Ref-0,2889.663830302069
POL LpTh10-Ref,-2888.805695002015
POL RMCC8-Ref-0,2881.9783696378736
POL LPCn2-Ref,2874.701531641405
POL LPCU2-Ref,2871.680721340634
POL LOfC9-Ref,2869.5794651401084
POL RPIN1-Ref-1,2867.7956400541516
POL RAMY3-Ref-0,2860.411916548661
POL RMCC3-Ref-1,2850.620357961524
POL LPCn9-Ref,-2841.988452538389
POL LMCC13-Ref-1,2828.0308789767932
POL LPIN16-Ref-1,2802.278941553753
POL LMCC4-Ref-1,2796.4899253427748
POL LPCU8-Ref,2791.0420150756736
POL RMCC4-Ref-0,2786.241117182603
POL RpTh7-Ref,-2784.2633416445847
POL RAMY1-Ref-1,2782.8537056750056
POL LMCC3-Ref-0,2777.715187313815
POL RMCC2-Ref-1,2772.4758445260954
POL LpFG8-Ref,2770.749170061733
