AnalysisType	FrequencyRange	MeanCanonicalCorrelation	MeanPValue
EMBEDDING_1	70-150Hz	0.24931937870924922	0.0
EMBEDDING_1	70-150Hz	0.2529885490161262	0.0
EMBEDDING_1	70-150Hz	0.24931937870924922	0.0
EMBEDDING_1	70-150Hz	0.24931937870924922	0.0
